,model,feature,recall_micro,recall_macro,precision_macro,precision_micro,f1_macro,f1_micro,collection,task,f1_class_0,f1_class_1,f1_class_2,f1_class_3
68,Decision Tree,complexity,0.31578947368421,0.29317738791423,0.296296296296296,0.31578947368421,0.281096681096681,0.31578947368421,dev,subtaskbenglish,0.424242424242424,0.285714285714286,0.133333333333333,
69,Decision Tree,complexity,0.395061728395062,0.41747311827957,0.379620596205962,0.395061728395062,0.355483405483406,0.395061728395062,test,subtaskbenglish,0.254545454545455,0.583333333333333,0.228571428571429,
70,Random Forest Classifier,complexity,0.793939393939394,0.249576629974598,0.198752528658125,0.793939393939394,0.221283783783784,0.793939393939394,dev,subtaskaenglish,0.885135135135135,0,0,0
71,Random Forest Classifier,complexity,0.806787082649152,0.249661246612466,0.201917808219178,0.806787082649152,0.223265677067555,0.806787082649152,test,subtaskaenglish,0.893062708270221,0,0,0
72,Random Forest Classifier,complexity,0.368421052631579,0.395126705653021,0.418229918229918,0.368421052631579,0.348112535612536,0.368421052631579,dev,subtaskbenglish,0.384615384615385,0.4375,0.222222222222222,
73,Random Forest Classifier,complexity,0.407407407407407,0.453225806451613,0.389024019458802,0.407407407407407,0.370114555256065,0.407407407407407,test,subtaskbenglish,0.226415094339623,0.571428571428571,0.3125,
74,Linear SVM,linked_feat,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
75,Linear SVM,linked_feat,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
76,Linear SVM,linked_feat,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
77,Linear SVM,linked_feat,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
78,RBF SVM,linked_feat,0.781818181818182,0.256962776643257,0.239084616408573,0.781818181818182,0.23815183119088,0.781818181818182,dev,subtaskaenglish,0.87741935483871,0,0,0.075187969924812
79,RBF SVM,linked_feat,0.80295566502463,0.262705409697409,0.283456965299231,0.80295566502463,0.249242443947355,0.80295566502463,test,subtaskaenglish,0.890586797066015,0,0,0.106382978723404
80,RBF SVM,linked_feat,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
81,RBF SVM,linked_feat,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
82,Linear SVM (squared loss),linked_feat,0.774410774410774,0.254634241503545,0.228133353133353,0.774410774410774,0.235539464769648,0.774410774410774,dev,subtaskaenglish,0.872713414634146,0,0,0.069444444444445
83,Linear SVM (squared loss),linked_feat,0.798576902025178,0.261350396147274,0.263803157348483,0.798576902025178,0.247355529544371,0.798576902025178,test,subtaskaenglish,0.888412017167382,0,0,0.101010101010101
84,Linear SVM (squared loss),linked_feat,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
85,Linear SVM (squared loss),linked_feat,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
86,Logistic Regression,linked_feat,0.774410774410774,0.254634241503545,0.228133353133353,0.774410774410774,0.235539464769648,0.774410774410774,dev,subtaskaenglish,0.872713414634146,0,0,0.069444444444445
87,Logistic Regression,linked_feat,0.798576902025178,0.261350396147274,0.263803157348483,0.798576902025178,0.247355529544371,0.798576902025178,test,subtaskaenglish,0.888412017167382,0,0,0.101010101010101
88,Logistic Regression,linked_feat,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
89,Logistic Regression,linked_feat,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
90,Decision Tree,linked_feat,0.781818181818182,0.256962776643257,0.239084616408573,0.781818181818182,0.23815183119088,0.781818181818182,dev,subtaskaenglish,0.87741935483871,0,0,0.075187969924812
91,Decision Tree,linked_feat,0.80295566502463,0.262705409697409,0.283456965299231,0.80295566502463,0.249242443947355,0.80295566502463,test,subtaskaenglish,0.890586797066015,0,0,0.106382978723404
92,Decision Tree,linked_feat,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
