,model,feature,recall_micro,recall_macro,precision_macro,precision_micro,f1_macro,f1_micro,collection,task,f1_class_0,f1_class_1,f1_class_2,f1_class_3
64,Decision Tree,linked_feat,0.7818181818181819,0.2569627766432568,0.23908461640857256,0.7818181818181819,0.2381518311908804,0.7818181818181819,dev,subtaskaenglish,0.8774193548387096,0.0,0.0,0.07518796992481203
65,Decision Tree,linked_feat,0.8029556650246306,0.2627054096974091,0.28345696529923126,0.8029556650246306,0.24924244394735473,0.8029556650246306,test,subtaskaenglish,0.8905867970660146,0.0,0.0,0.10638297872340426
66,Decision Tree,linked_feat,0.2631578947368421,0.3333333333333333,0.08771929824561403,0.2631578947368421,0.1388888888888889,0.2631578947368421,dev,subtaskbenglish,0.0,0.4166666666666667,0.0,
67,Decision Tree,linked_feat,0.38271604938271603,0.3333333333333333,0.12757201646090535,0.38271604938271603,0.18452380952380953,0.38271604938271603,test,subtaskbenglish,0.0,0.5535714285714286,0.0,
68,Random Forest Classifier,linked_feat,0.7818181818181819,0.2569627766432568,0.23908461640857256,0.7818181818181819,0.2381518311908804,0.7818181818181819,dev,subtaskaenglish,0.8774193548387096,0.0,0.0,0.07518796992481203
69,Random Forest Classifier,linked_feat,0.8029556650246306,0.2627054096974091,0.28345696529923126,0.8029556650246306,0.24924244394735473,0.8029556650246306,test,subtaskaenglish,0.8905867970660146,0.0,0.0,0.10638297872340426
70,Random Forest Classifier,linked_feat,0.2631578947368421,0.3333333333333333,0.08771929824561403,0.2631578947368421,0.1388888888888889,0.2631578947368421,dev,subtaskbenglish,0.0,0.4166666666666667,0.0,
71,Random Forest Classifier,linked_feat,0.38271604938271603,0.3333333333333333,0.12757201646090535,0.38271604938271603,0.18452380952380953,0.38271604938271603,test,subtaskbenglish,0.0,0.5535714285714286,0.0,
72,Linear SVM,structural,0.7952861952861953,0.25,0.19882154882154882,0.7952861952861953,0.22149287321830458,0.7952861952861953,dev,subtaskaenglish,0.8859714928732183,0.0,0.0,0.0
73,Linear SVM,structural,0.8078817733990148,0.25,0.2019704433497537,0.8078817733990148,0.223433242506812,0.8078817733990148,test,subtaskaenglish,0.893732970027248,0.0,0.0,0.0
74,Linear SVM,structural,0.23684210526315788,0.30370370370370375,0.14747474747474748,0.23684210526315788,0.17165005537098563,0.23684210526315788,dev,subtaskbenglish,0.0,0.372093023255814,0.14285714285714285,
75,Linear SVM,structural,0.345679012345679,0.3688172043010753,0.1907051282051282,0.345679012345679,0.25053418803418803,0.345679012345679,test,subtaskbenglish,0.0,0.5208333333333334,0.23076923076923075,
